"","season","age","tm","lg","pos","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","player"
"184",2020,30,"CHO","NBA","SF",39,39,34.1,7.3,15.2,0.481,2,4.7,0.416,5.3,10.5,0.51,0.546,3.5,4.1,0.868,0.8,4.8,5.6,4.2,1.3,0.3,2.1,1.7,20.1,"Gordon Hayward"
"185",2011,21,"CHA","NBA","PG",66,25,27.2,4.3,11.6,0.366,1,3.4,0.305,3.2,8.2,0.392,0.411,2.5,3.2,0.789,0.5,3.1,3.5,4.4,0.9,0.3,1.8,1.2,12.1,"Kemba Walker"
"186",2012,22,"CHA","NBA","PG",82,82,34.9,6.4,15.2,0.423,1.3,4,0.322,5.1,11.1,0.459,0.466,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2,0.4,2.4,1.9,17.7,"Kemba Walker"
"187",2013,23,"CHA","NBA","PG",73,73,35.8,6.2,15.7,0.393,1.5,4.5,0.333,4.7,11.2,0.417,0.441,3.9,4.6,0.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7,"Kemba Walker"
"188",2014,24,"CHO","NBA","PG",62,58,34.2,6.1,15.8,0.385,1.4,4.5,0.304,4.7,11.3,0.418,0.429,3.8,4.6,0.827,0.6,3,3.5,5.1,1.4,0.5,1.6,1.5,17.3,"Kemba Walker"
"189",2015,25,"CHO","NBA","PG",81,81,35.6,7,16.4,0.427,2.2,6,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,"Kemba Walker"
"190",2016,26,"CHO","NBA","PG",79,79,34.7,8.1,18.3,0.444,3,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,"Kemba Walker"
"191",2017,27,"CHO","NBA","PG",80,80,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,"Kemba Walker"
"192",2018,28,"CHO","NBA","PG",82,82,34.9,8.9,20.5,0.434,3.2,8.9,0.356,5.7,11.6,0.494,0.511,4.6,5.5,0.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,"Kemba Walker"
"193",2019,29,"BOS","NBA","PG",56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,"Kemba Walker"
"194",2020,30,"BOS","NBA","PG",26,26,30.7,6.1,15.5,0.395,2.9,7.9,0.364,3.2,7.6,0.426,0.488,2.8,3,0.923,0.3,3.2,3.5,4.6,1.2,0.3,2.2,1.3,17.9,"Kemba Walker"
